factor,planning_strategy,query_idx,episodes_at_query,selected_not_max_value_rate,mean_value_sacrifice,mean_future_image_mse,mean_future_proprio_l2
Environment,max_value,1,120,0.0,0.0,942.3767771402995,0.020983680570498108
Environment,max_value,2,120,0.0,0.0,1158.9890329996745,0.07551769368971388
Environment,max_value,3,120,0.0,0.0,1063.880525716146,0.2598335476592183
Environment,max_value,4,120,0.0,0.0,756.2605575561523,0.15370707626764973
Environment,max_value,5,120,0.0,0.0,902.7153447469076,0.19039271725341678
Environment,max_value,6,120,0.0,0.0,796.3120287577311,0.14331542226330687
Environment,max_value,7,98,0.0,0.0,875.5416620994101,0.3110861949888723
Environment,max_value,8,82,0.0,0.0,828.2913312214176,0.1490519332994775
Environment,max_value,9,82,0.0,0.0,845.439042254192,0.17093509585573907
Environment,max_value,10,82,0.0,0.0,844.5486293885766,0.16850969699643006
Environment,max_value,11,81,0.0,0.0,769.3542401349104,0.25705263220969543
Environment,max_value,12,79,0.0,0.0,757.7413415063786,0.17197044842133793
Environment,max_value,13,79,0.0,0.0,862.1071313785601,0.2313012235998353
Environment,max_value,14,76,0.0,0.0,812.2117462158203,0.20544993972993994
Environment,max_value,15,76,0.0,0.0,836.4813979299445,0.291982976866788
Environment,max_value,16,76,0.0,0.0,819.5507005390368,0.1593663802762565
Environment,max_value,17,75,0.0,0.0,866.7331266276042,0.29284363662203156
Object,frozen_factor_ridge,0,120,0.6,0.0016960769891738892,505.63557256062825,0.014396375805760423
Object,frozen_factor_ridge,1,120,0.8083333333333333,0.0017496657868226368,594.3912778218587,0.01586296152478705
Object,frozen_factor_ridge,2,120,0.7083333333333334,0.0004802115261554718,588.4066922505697,0.018768322731678683
Object,frozen_factor_ridge,3,120,0.6833333333333333,0.0005828181902567546,573.8885714213053,0.046995706879533826
Object,frozen_factor_ridge,4,120,0.6666666666666666,0.0002547877530256907,541.5852106730143,0.01857314947604512
Object,frozen_factor_ridge,5,120,0.6416666666666667,0.0002143817643324534,537.1705108642578,0.01676414767280221
Object,frozen_factor_ridge,6,120,0.6666666666666666,0.00020256986220677694,600.6351030985514,0.015700846945401283
Object,frozen_factor_ridge,7,120,0.6666666666666666,0.0005934233466784159,663.7138814290364,0.09324192352360114
Object,frozen_factor_ridge,8,68,0.6911764705882353,0.0010152222479090972,745.214495490579,0.30238613319199753
Object,frozen_factor_ridge,9,25,0.48,0.0011391139030456543,728.906435546875,0.469721599817276
Object,max_value,0,120,0.0,0.0,504.8731808980306,0.014406293587914358
Object,max_value,1,120,0.0,0.0,593.0135772705078,0.015919406013563276
Object,max_value,2,120,0.0,0.0,587.6078231811523,0.019761196353162327
Object,max_value,3,120,0.0,0.0,579.355243174235,0.04724223599769175
Object,max_value,4,120,0.0,0.0,542.4985181172689,0.018319273829304924
Object,max_value,5,120,0.0,0.0,537.0518333435059,0.018389947696899375
Object,max_value,6,120,0.0,0.0,595.3319890340169,0.0143994282426623
Object,max_value,7,120,0.0,0.0,669.1948415120443,0.08356070429629957
Object,max_value,8,73,0.0,0.0,752.5512110043878,0.2870273406885258
Object,max_value,9,31,0.0,0.0,738.2624117943549,0.475238008845237
Position,frozen_factor_ridge,0,120,0.975,0.004056533177693685,502.4390899658203,0.01598108351463452
Position,frozen_factor_ridge,1,120,0.9166666666666666,0.002177704870700836,562.5093986511231,0.018290917571478833
Position,frozen_factor_ridge,2,120,0.9583333333333334,0.0012095545729001362,624.8890991210938,0.025481512063803773
Position,frozen_factor_ridge,3,120,0.9416666666666667,0.0036869245270888013,713.8394195556641,0.3511195376825829
Position,frozen_factor_ridge,4,120,0.95,0.006290121624867122,647.0233927408855,0.06093186270445585
Position,frozen_factor_ridge,5,120,0.9166666666666666,0.004152262210845947,673.6958132425945,0.4579265079771479
Position,frozen_factor_ridge,6,120,0.9166666666666666,0.0063693739473819734,711.087233988444,0.31801898872169354
Position,frozen_factor_ridge,7,120,0.9083333333333333,0.0025185299416383105,729.5673955281576,0.10279635259260735
Position,frozen_factor_ridge,8,120,0.9083333333333333,0.0061075312395890554,676.289767964681,0.21014079007630546
Position,frozen_factor_ridge,9,120,0.9416666666666667,0.0099179411927859,672.708364868164,0.17907404575186472
Position,frozen_factor_ridge,10,120,0.95,0.00579497441649437,640.7867045084636,0.3158104388353725
Position,frozen_factor_ridge,11,120,0.925,0.008823772271474203,692.5299596150716,0.290173984101663
Position,frozen_factor_ridge,12,120,0.9333333333333333,0.005389804393053055,663.8375345865885,0.12338248520779113
Position,frozen_factor_ridge,13,120,0.9416666666666667,0.004831050336360931,653.010243733724,0.1689888228972753
Position,frozen_factor_ridge,14,120,0.95,0.0047909664611021675,679.3795354207357,0.11399549815493325
Position,frozen_factor_ridge,15,118,0.9661016949152542,0.004490054764990079,667.6316073142876,0.08400844182755987
Position,frozen_factor_ridge,16,118,0.940677966101695,0.002484028874817541,680.6618670447398,0.10208203351535534
Position,frozen_factor_ridge,17,117,0.9316239316239316,0.003110863968857333,723.6963574010083,0.346882039681077
Position,max_value,0,120,0.0,0.0,503.5815839131673,0.015724181690408536
Position,max_value,1,120,0.0,0.0,564.7999491373698,0.018152045249007643
Position,max_value,2,120,0.0,0.0,626.7264017740886,0.025613799314790717
Position,max_value,3,120,0.0,0.0,712.741384379069,0.34914569281972946
Position,max_value,4,120,0.0,0.0,655.7195729573567,0.05536963571794331
Position,max_value,5,120,0.0,0.0,725.1646710713704,0.4699345859698951
Position,max_value,6,120,0.0,0.0,724.2483072916667,0.3638259862239162
Position,max_value,7,120,0.0,0.0,710.2183731079101,0.09119816358822087
Position,max_value,8,120,0.0,0.0,742.2529543558757,0.13396261039500434
Position,max_value,9,120,0.0,0.0,722.4646530151367,0.1363329410708199
Position,max_value,10,120,0.0,0.0,621.5992024739584,0.2882824794544528
Position,max_value,11,120,0.0,0.0,752.435865020752,0.38324047941714523
Position,max_value,12,120,0.0,0.0,716.5737325032552,0.06580296952743084
Position,max_value,13,120,0.0,0.0,659.7400550842285,0.08626173608936369
Position,max_value,14,120,0.0,0.0,732.7236315409342,0.1551957400360455
Position,max_value,15,120,0.0,0.0,705.3247823079427,0.08066254672594368
Position,max_value,16,120,0.0,0.0,665.7997873942057,0.09468257593301435
Position,max_value,17,120,0.0,0.0,704.3983670552572,0.252373731850336
