planning_strategy,episodes,successes,success_rate,mean_final_t,mean_queries
cosmos_consensus_guarded,1,0,0.0,280.0,56.0
keystone_cluster_medoid,1,0,0.0,280.0,56.0
max_value,1,0,0.0,280.0,56.0
