reference,method,paired_episodes,reference_success_rate,method_success_rate,delta_success_rate,ci95_low,ci95_high,rescues,harms,mcnemar_exact_p
cosmos_consensus_guarded,keystone_cluster_medoid,1,0.0,0.0,0.0,0.0,0.0,0,0,1.0
cosmos_consensus_guarded,max_value,1,0.0,0.0,0.0,0.0,0.0,0,0,1.0
keystone_cluster_medoid,max_value,1,0.0,0.0,0.0,0.0,0.0,0,0,1.0
