suite,task_id,episode_id,pair_id,rollout_id,rollout_seed,init_state_id,base_seed,query_idx,t,task_description,task_level,task_level_id,intervention_mode,intervention_start_t,intervention_end_t,intervention_start_query,intervention_end_query,num_samples,action_std_mean,action_std_max,action_first_step_l2_std,action_xyz_std_mean,action_rot_std_mean,action_gripper_std_mean,action_pairwise_l2_mean,value_mean,value_std,value_range,future_proprio_std_mean,future_proprio_std_max,future_image_pixel_std_mean,future_image_pixel_std_p95,future_image_pixel_std_max,future_wrist_pixel_std_mean,future_wrist_pixel_std_p95,future_wrist_pixel_std_max,latent_action_across_seed_std_mean,latent_action_across_seed_std_p95,latent_action_across_seed_std_max,latent_future_proprio_across_seed_std_mean,latent_future_proprio_across_seed_std_p95,latent_future_proprio_across_seed_std_max,latent_value_across_seed_std_mean,latent_value_across_seed_std_p95,latent_value_across_seed_std_max,latent_action_copy_std_mean_mean_over_samples,latent_action_copy_std_mean_max_over_samples,latent_action_copy_std_max_mean_over_samples,latent_action_copy_std_max_max_over_samples,latent_action_first_step_copy_l2_std_mean_over_samples,latent_action_first_step_copy_l2_std_max_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_max_over_samples,latent_future_proprio_copy_std_max_mean_over_samples,latent_future_proprio_copy_std_max_max_over_samples,latent_value_element_std_mean_mean_over_samples,latent_value_element_std_mean_max_over_samples,latent_value_element_std_max_mean_over_samples,latent_value_element_std_max_max_over_samples,planning_strategy,planning_risk_lambda,selected_sample_idx,selected_value,selected_value_z,selected_risk,selected_planning_score,max_value_sample_idx,max_value,max_value_selected,candidate_value_mean,candidate_value_std,candidate_value_range,candidate_action_internal_consistency_mean,candidate_action_internal_consistency_std,candidate_value_internal_consistency_mean,candidate_value_internal_consistency_std,selected_seed,max_value_seed,t_after,executed_steps,intervention_steps,intervention_applied,chunk_success,observed_goal_progress_end,observed_goal_progress_delta,observed_target_lift_max,observed_target_eef_distance_min,observed_non_target_displacement_max,observed_non_target_lift_max,observed_target_drop_candidate,observed_wrong_object_interaction_candidate,observed_official_safety_violation,observed_official_safety_cost_sum,observed_robot_contact_count_sum,observed_robot_contact_count_max,observed_robot_target_contact_count_sum,observed_action_motion_norm_mean,observed_action_motion_norm_max,observed_action_sign_flip_rate,observed_eef_path_length,observed_eef_net_displacement,observed_eef_speed_mean,observed_eef_acceleration_mean,observed_eef_jerk_mean,observed_eef_jerk_max,observed_eef_dimensionless_jerk_proxy,prediction_error_future_image_mse,prediction_error_future_image_mae,prediction_error_future_image_psnr,prediction_error_future_image_ssim_global,prediction_error_future_wrist_mse,prediction_error_future_wrist_mae,prediction_error_future_wrist_psnr,prediction_error_future_wrist_ssim_global,prediction_error_future_proprio_l2,prediction_error_future_proprio_mae,prediction_error_future_proprio_max_abs,prediction_error_future_proprio_eef_pos_l2,prediction_error_future_proprio_eef_quat_l2,prediction_error_value_abs_chunk_success,prediction_value_executed_sample,actual_object_state_delta_l2_mean,actual_object_state_delta_l2_max,actual_object_state_num_keys,actual_object_state_delta_l2__cream_cheese_1_pos,actual_object_state_delta_l2__cream_cheese_1_quat,actual_object_state_delta_l2__basket_1_pos,actual_object_state_delta_l2__basket_1_quat,actual_object_state_delta_l2__alphabet_soup_1_pos,actual_object_state_delta_l2__alphabet_soup_1_quat,actual_object_state_delta_l2__milk_1_pos,actual_object_state_delta_l2__milk_1_quat,actual_object_state_delta_l2__tomato_sauce_1_pos,actual_object_state_delta_l2__tomato_sauce_1_quat,actual_object_state_delta_l2__butter_1_pos,actual_object_state_delta_l2__butter_1_quat,actual_object_state_delta_l2__orange_juice_1_pos,actual_object_state_delta_l2__orange_juice_1_quat,success,final_t,num_queries,failure_type,failure_event_t,safe_task_success,safety_terminated,official_safety_violation,official_safety_violation_t,official_safety_cost_types,target_objects,target_drop_candidate,target_drop_candidate_t,wrong_object_interaction_candidate,wrong_object_interaction_candidate_t,kinematic_deadlock_candidate,episode_goal_progress_initial,episode_goal_progress_max,episode_time_to_first_goal_progress,episode_time_to_first_target_lift,episode_target_lift_max,episode_eef_path_length,episode_eef_net_displacement,episode_eef_jerk_mean,episode_eef_dimensionless_jerk_proxy,prediction_error_value_abs_final_success,actual_object_state_delta_l2__chocolate_pudding_1_pos,actual_object_state_delta_l2__chocolate_pudding_1_quat,actual_object_state_delta_l2__bbq_sauce_1_pos,actual_object_state_delta_l2__bbq_sauce_1_quat,actual_object_state_delta_l2__ketchup_1_pos,actual_object_state_delta_l2__ketchup_1_quat,actual_object_state_delta_l2__salad_dressing_1_pos,actual_object_state_delta_l2__salad_dressing_1_quat,steps_to_failure_event,query_is_pre_failure,failure_event_in_executed_chunk
libero_object,1,0,0,0,122000,0,122000,0,0,pick up the cream cheese and place it in the basket,-1,-1,none,-1,-1,-1,-1,4.0,0.0024366718716919,0.011508566327393,0.0072951139882206,0.0048602330498397,0.0005015733768232,0.000971284462139,0.0146473562344908,0.2903839945793152,0.0004052832955494,0.0009755492210388,0.0007012156420387,0.001356144552119,0.639867901802063,1.9202864170074463,20.11839866638184,1.3691562414169312,4.815340042114258,44.20690155029297,0.0065982891246676,0.0125818736851215,0.0223833583295345,0.005561105441302,0.0098705608397722,0.0182020999491214,0.0056935190223157,0.0100254015997052,0.0196271985769271,0.007635960355401,0.0076625496149063,0.0101307013537734,0.0113038336858153,0.0201857355423271,0.0208573918789625,0.007359305396676,0.007482080720365,0.0076653579017147,0.0077912188135087,0.0073103490285575,0.0074272057972848,0.0073103490285575,0.0074272057972848,first,1.0,0.0,0.2897792458534241,-1.4921629428863523,0.0,0.2897792458534241,1.0,0.2907547950744629,False,0.2903839945793152,0.0004052832955494,0.0009755492210388,0.020185736939311,0.000409932777984,0.0073103490285575,7.354676199611276e-05,122000,122001,16,16,0,False,False,0.0,0.0,2.324529457808921e-16,0.2580542267188767,1.0401113633140918e-09,1.0401113581526287e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5453249092677152,0.8222454585264902,0.0666666666666666,0.0999215261212118,0.0991306331746283,0.1249019076515147,0.2886069284438209,1.5256390856934647,3.867938817707929,73.89150086548278,513.3990478515625,12.042722702026367,21.0262530197307,0.8278977645667467,915.56103515625,15.337977409362791,18.51393059365094,0.8770003068098617,0.0143002104014158,0.0031851944513618,0.0101512670516967,0.0122206276282668,0.007391563616693,0.2897792458534241,0.2897792458534241,1.6897264506005554e-10,1.1791583321477212e-09,14.0,2.6367796834847473e-16,9.097100446848426e-19,5.463251379067557e-14,2.158541933696721e-14,2.8050314110420908e-12,2.817293499442467e-12,1.1791581933704331e-09,7.958382443651547e-13,1.1796119636642288e-16,2.9517073108962994e-16,9.743941764561724e-15,5.0634874049126085e-18,1.1791583321477212e-09,7.95697509787748e-13,True,121,8,success,-1,True,False,False,-1,,cream_cheese_1,False,-1,False,-1,False,0.0,1.0,121,62,0.2349972627875002,0.9989090462023736,0.29821557196133,3.425327607203948,2852951.022635292,0.7102207541465759,,,,,,,,,,False,False
libero_object,1,0,0,0,122000,0,122000,1,16,pick up the cream cheese and place it in the basket,-1,-1,none,-1,-1,-1,-1,4.0,0.0019096583127975,0.0116201406344771,0.0082506705075502,0.00359748583287,0.0006058858707547,0.0007574933115392,0.0108937434852123,0.3359305262565613,0.0005293642170727,0.0012962520122528,0.000790570047684,0.0015608492540195,0.8724139928817749,2.598076105117798,37.5,2.4871082305908203,10.649418830871582,61.25561141967773,0.0063498397357761,0.0115722427144646,0.0233794543892145,0.0055701280944049,0.0099801961332559,0.0180583540350198,0.0055484450422227,0.0098809627816081,0.0164967607706785,0.0077605752740055,0.007837033830583,0.0101211983710527,0.0106455842033028,0.02092972304672,0.0218895394355058,0.0074365180917084,0.0075470614247024,0.0077950377017259,0.0078295795246958,0.0069870048901066,0.0071775782853364,0.0069870048901066,0.0071775782853364,first,1.0,0.0,0.3353213965892792,-1.1506816148757937,0.0,0.3353213965892792,3.0,0.336617648601532,False,0.3359305262565613,0.0005293642170727,0.0012962520122528,0.0209297239780426,0.0005887167644686,0.0069870050065219,0.0001128470466937,123000,123003,32,16,0,False,False,0.0,0.0,2.324529457808921e-16,0.1295530483360934,1.0401113638691447e-09,1.0401113581526287e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7781468496800603,0.8626728136988654,0.1111111111111111,0.1634458372051748,0.1555222965703259,0.2043072965064685,0.2719337617421977,1.520897254849713,4.228089785240873,28.084123053830968,582.8307495117188,12.522772789001465,20.47537904264512,0.8125161749141128,829.612548828125,14.688190460205078,18.942050482419997,0.882117531580125,0.0085776625201106,0.0021498326677829,0.0064653158187866,0.0017869605217128,0.0081043168902397,0.3353213965892792,0.3353213965892792,8.121617331576755e-16,5.551115123125783e-15,14.0,0.0,1.4232336307857478e-18,0.0,2.3950808821442263e-18,0.0,0.0,5.551115123125783e-15,0.0,0.0,2.577691976159136e-16,0.0,6.44650582704576e-18,5.551115123125783e-15,0.0,True,121,8,success,-1,True,False,False,-1,,cream_cheese_1,False,-1,False,-1,False,0.0,1.0,121,62,0.2349972627875002,0.9989090462023736,0.29821557196133,3.425327607203948,2852951.022635292,0.6646786034107208,,,,,,,,,,False,False
libero_object,1,0,0,0,122000,0,122000,2,32,pick up the cream cheese and place it in the basket,-1,-1,none,-1,-1,-1,-1,4.0,0.0016384124755859,0.0075227883644402,0.0040438277646899,0.0029626868199557,0.0005974503583274,0.0007884757360443,0.0090731456875801,0.4199869036674499,0.0007619193638674,0.0018771588802337,0.0007688640034757,0.001584417419508,0.7663383483886719,2.4494898319244385,19.305116653442383,2.1694159507751465,8.455767631530762,81.81495666503906,0.0060827718116343,0.0110095301643013,0.0188000798225402,0.005541346501559,0.0098086269572377,0.0167589765042066,0.0054288771934807,0.0097427424043416,0.0178288482129573,0.0076281577348709,0.0077159130014479,0.0094048075843602,0.0097060976549983,0.0196812823414802,0.0207453109323978,0.0075198900885879,0.0075610568746924,0.008061780128628,0.0083233844488859,0.0067071926314383,0.0067615583539009,0.0067071926314383,0.0067615583539009,first,1.0,0.0,0.4202259182929992,0.3137006759643554,0.0,0.4202259182929992,1.0,0.421129822731018,False,0.4199869036674499,0.0007619193638674,0.0018771588802337,0.0196812823414802,0.0007153510814532,0.006707192864269,4.219983020448126e-05,124000,124001,48,16,0,False,False,0.0,0.0,2.324529457808921e-16,0.0228301305898053,1.040111364453824e-09,1.0401113581526287e-09,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.6966545038894975,0.8499337417678152,0.0333333333333333,0.1341014326403983,0.130392394080836,0.1676267908004979,0.4024417001890062,5.437194608814338,52.16724664325541,2570.076120518328,536.8229370117188,12.45594882965088,20.8324929706613,0.8383757126720977,933.5269165039062,14.233132362365724,18.42953516332581,0.8869307902422324,0.0377020686864852,0.0085081094875931,0.0330062508583068,0.0144388144835829,0.0335856340825557,0.4202259182929992,0.4202259182929992,8.114464714359138e-16,5.551115123125783e-15,14.0,0.0,2.8431138874529042e-18,0.0,1.963573647892308e-18,0.0,6.133173666733498e-19,5.551115123125783e-15,0.0,0.0,2.4563379677500105e-16,0.0,6.966552174205309e-18,5.551115123125783e-15,0.0,True,121,8,success,-1,True,False,False,-1,,cream_cheese_1,False,-1,False,-1,False,0.0,1.0,121,62,0.2349972627875002,0.9989090462023736,0.29821557196133,3.425327607203948,2852951.022635292,0.5797740817070007,,,,,,,,,,False,False
libero_object,1,0,0,0,122000,0,122000,3,48,pick up the cream cheese and place it in the basket,-1,-1,none,-1,-1,-1,-1,4.0,0.0277988463640213,0.9490076303482056,0.0222070962190628,0.0263893250375986,0.0040329750627279,0.1033250167965889,0.2195526212453842,0.5136613845825195,0.0036941494327038,0.0092411041259765,0.0035166745074093,0.0137545224279165,2.776637554168701,14.195069313049316,88.3130111694336,4.770432472229004,19.685020446777344,108.00463104248048,0.0338217541575431,0.0879519060254097,0.9652236700057985,0.0067994534038007,0.0151824187487363,0.0259967297315597,0.0089032035320997,0.013990119099617,0.0232896506786346,0.0084156121592968,0.0085363946855068,0.0240199221298098,0.0348741747438907,0.0247015003114938,0.0325252898037433,0.0072760871844366,0.0073621030896902,0.0076365129789337,0.0079061016440391,0.0068941683275625,0.0070534129627048,0.0068941683275625,0.0070534129627048,first,1.0,0.0,0.5161908268928528,0.684715747833252,0.0,0.5161908268928528,2.0,0.5181868076324463,False,0.5136613845825195,0.0036941494327038,0.0092411041259765,0.0247015003114938,0.0046155978925526,0.0068941684439778,0.0001414441794622,125000,125002,64,16,0,False,False,0.0,0.0,0.0685247333518902,0.018988912430496,1.0401113650681301e-09,1.0401113581526287e-09,0.0,0.0,0.0,0.0,69.0,6.0,54.0,0.4853680430802731,0.9711534043999596,0.1,0.0765701895833173,0.0712249970760414,0.0957127369791466,0.4555976526626031,5.280533214440578,12.696455328822353,1553.9984674218647,555.895751953125,12.48334503173828,20.68087005610365,0.8316432865855857,717.3218383789062,14.17665195465088,19.57366308029016,0.9144006655946004,0.1603617519140243,0.0307863615453243,0.1284707635641098,0.0098753487691283,0.0259256958961486,0.5161908268928528,0.5161908268928528,0.0066723259697487,0.0686859303720714,14.0,0.0686859303720714,0.0247266332043998,0.0,1.5636586103463756e-18,0.0,6.133173666733498e-19,5.551115123125783e-15,0.0,0.0,2.453269466693398e-16,0.0,6.270755780792753e-18,5.551115123125783e-15,0.0,True,121,8,success,-1,True,False,False,-1,,cream_cheese_1,False,-1,False,-1,False,0.0,1.0,121,62,0.2349972627875002,0.9989090462023736,0.29821557196133,3.425327607203948,2852951.022635292,0.4838091731071472,,,,,,,,,,False,False
libero_object,1,0,0,0,122000,0,122000,4,64,pick up the cream cheese and place it in the basket,-1,-1,none,-1,-1,-1,-1,4.0,0.0009731759200803,0.0039250263944268,0.0042452318593859,0.0016921823844313,0.000358565011993,0.0006599891930818,0.0051867212168872,0.6000155210494995,0.0001335924171144,0.0003539323806762,0.0005160001455806,0.0008733457652851,0.5524978041648865,1.5,23.71708297729492,0.9186110496520996,2.861380815505981,28.34056282043457,0.0057309879921376,0.0101697258651256,0.0169184207916259,0.0055540120229125,0.0098257567733526,0.0167200285941362,0.0053315255790948,0.0094498377293348,0.0159898791462183,0.0075116864172741,0.0075850519351661,0.0094511674251407,0.0099120810627937,0.0201352164149284,0.0208032596856355,0.0073571847751736,0.0074581131339073,0.0075771671254187,0.007698212750256,0.0067849884508177,0.0069949505850672,0.0067849884508177,0.0069949505850672,first,1.0,0.0,0.6000927686691284,0.578233540058136,0.0,0.6000927686691284,3.0,0.6001781821250916,False,0.6000155210494995,0.0001335924171144,0.0003539323806762,0.0201352164149284,0.0008892855257727,0.006784988567233,0.0001376468571834,126000,126003,80,16,0,False,False,0.0,0.0,0.2057175013656174,0.0187847690379408,1.0401113657120623e-09,1.0401113581526287e-09,0.0,0.0,0.0,0.0,134.0,9.0,134.0,0.8967076404918803,0.9956451042179296,0.0777777777777777,0.1870974844476182,0.1715798911408656,0.2338718555595228,0.3756958762890239,2.6840791820971126,6.016775595108872,62.43528031749641,552.16064453125,12.40235710144043,20.71014911972871,0.8258728717930345,1101.519287109375,17.473234176635742,17.710882550126804,0.86336340377978,0.0262807141989469,0.0068525928072631,0.0159944128245115,0.0144679816439747,0.0079987728968262,0.6000927686691284,0.6000927686691284,0.0146971855358582,0.1698722072201186,14.0,0.1698722072201186,0.0358883902818858,0.0,2.7428386473255482e-18,0.0,8.673617379884035e-19,5.551115123125783e-15,0.0,0.0,3.074246800196888e-16,0.0,4.6944995321319196e-18,5.551115123125783e-15,0.0,True,121,8,success,-1,True,False,False,-1,,cream_cheese_1,False,-1,False,-1,False,0.0,1.0,121,62,0.2349972627875002,0.9989090462023736,0.29821557196133,3.425327607203948,2852951.022635292,0.3999072313308716,,,,,,,,,,False,False
libero_object,1,0,0,0,122000,0,122000,5,80,pick up the cream cheese and place it in the basket,-1,-1,none,-1,-1,-1,-1,4.0,0.0008481941767968,0.0032574106007814,0.0029347317758947,0.0014584296150133,0.0002384760155109,0.0008466423023492,0.0045771566219627,0.7106796503067017,0.0001991658791666,0.0005416870117187,0.0004627642047125,0.0008202819153666,0.5267672538757324,1.4142135381698608,23.65375328063965,0.6797446012496948,1.785357117652893,16.161296844482422,0.0056610517203807,0.0101586319506168,0.0166244711726903,0.0054823677055537,0.0098063498735427,0.0156193412840366,0.0054128621704876,0.0096704773604869,0.0159474518150091,0.0072796241147443,0.0074151842854917,0.0092227603308856,0.0099339159205555,0.0192728042602539,0.019761074334383,0.0072291926480829,0.0074138990603387,0.0074523132061585,0.0076149846427142,0.0069017866626381,0.006959184538573,0.0069017866626381,0.006959184538573,first,1.0,0.0,0.7108994722366333,1.103712797164917,0.0,0.7108994722366333,0.0,0.7108994722366333,True,0.7106796503067017,0.0001991658791666,0.0005416870117187,0.0192728042602539,0.0003766610752791,0.0069017866626381,8.338764746440575e-05,127000,127000,96,16,0,False,False,0.0,0.0,0.2349972627875002,0.0187570098958648,1.040111366385621e-09,1.0401113581526287e-09,0.0,0.0,0.0,0.0,144.0,9.0,144.0,0.8612106692871766,0.8970532858999479,0.1136363636363636,0.1807504206454581,0.1790347005441949,0.2259380258068227,0.142034608589415,0.7729527912533741,2.065553517124446,5.980424812899744,552.5159912109375,12.997735023498535,20.707355087475644,0.8230439031701166,1651.156005859375,21.465879440307617,15.952922523034523,0.7984774836872621,0.0198998041450977,0.0053011397831141,0.0128136575222015,0.0138729969039559,0.0103928036987781,0.7108994722366333,0.7108994722366333,0.0137354596415266,0.1780817717368906,14.0,0.1780817717368906,0.0142146632444708,0.0,9.69739903612216e-19,0.0,4.336808689942019e-19,5.551115123125783e-15,0.0,0.0,2.464314979699816e-16,0.0,1.3541420434848165e-17,5.551115123125783e-15,0.0,True,121,8,success,-1,True,False,False,-1,,cream_cheese_1,False,-1,False,-1,False,0.0,1.0,121,62,0.2349972627875002,0.9989090462023736,0.29821557196133,3.425327607203948,2852951.022635292,0.2891005277633667,,,,,,,,,,False,False
libero_object,1,0,0,0,122000,0,122000,6,96,pick up the cream cheese and place it in the basket,-1,-1,none,-1,-1,-1,-1,4.0,0.001329647609964,0.0064112544059753,0.0048484872095286,0.0022517757024616,0.0006384803564287,0.0006367649184539,0.006991998758167,0.8356448411941528,0.0001504744141129,0.0003652572631835,0.0004203190910629,0.0006555134314112,0.5618862509727478,1.5,16.887495040893555,0.835980236530304,2.384848117828369,19.891895294189453,0.0058087068609893,0.0103730885311961,0.0187777075916528,0.0055234101600945,0.0099178254604339,0.0165071319788694,0.0056010982953011,0.0100438632071018,0.0177892539650201,0.0075080110691487,0.0075463545508682,0.0097099884878844,0.0101769343018531,0.0199582017958164,0.0204464048147201,0.0072837100597098,0.0073648490943014,0.0075147913303226,0.0077084288932383,0.007202680921182,0.0073080179281532,0.007202680921182,0.0073080179281532,first,1.0,0.0,0.835559606552124,-0.5664394497871399,0.0,0.835559606552124,2.0,0.8358073234558105,False,0.8356448411941528,0.0001504744141129,0.0003652572631835,0.0199582017958164,0.0003332990745548,0.0072026806883513,0.000114810973173,128000,128002,112,16,0,False,False,0.0,0.0,0.2321181166667668,0.018871530176722,1.0401113670888064e-09,1.0401113581526287e-09,0.0,0.0,0.0,0.0,144.0,9.0,144.0,0.5599591013568116,0.8321859603664361,0.0444444444444444,0.1228610509905479,0.112947118012907,0.1535763137381848,0.4696932746982915,2.503299351274325,5.3558526535142,118.48059521715489,644.1879272460938,13.637263298034668,20.04067779439707,0.7951464160821173,1537.033203125,22.968172073364254,16.263971115996434,0.8279951695386787,0.0117772705852985,0.0032879875507205,0.0068433880805969,0.0092226359993219,0.0059680799022316,0.835559606552124,0.835559606552124,0.0094902614647772,0.1132696256809757,14.0,0.1132696256809757,0.0195940348258947,0.0,1.963573647892308e-18,0.0,4.336808689942019e-19,5.551115123125783e-15,0.0,0.0,2.607399605677454e-16,0.0,6.31267587337634e-18,5.551115123125783e-15,0.0,True,121,8,success,-1,True,False,False,-1,,cream_cheese_1,False,-1,False,-1,False,0.0,1.0,121,62,0.2349972627875002,0.9989090462023736,0.29821557196133,3.425327607203948,2852951.022635292,0.1644403934478759,,,,,,,,,,False,False
libero_object,1,0,0,0,122000,0,122000,7,112,pick up the cream cheese and place it in the basket,-1,-1,none,-1,-1,-1,-1,4.0,0.0014886563876643,0.0090458467602729,0.0100507792085409,0.002470007399097,0.0006814376101829,0.000966258579865,0.0078891180455684,0.9704930782318116,0.0004287289630156,0.0012032985687255,0.0006450297078117,0.0009402754949405,0.5443868041038513,1.4790199995040894,12.376893997192385,0.7375481724739075,2.061552762985229,11.57583713531494,0.0060596978291869,0.0110280374065041,0.0219466928392648,0.0056042768992483,0.0100603820756077,0.0171561483293771,0.0059745567850768,0.0106576643884181,0.0210929103195667,0.0076668155379593,0.0077623100951313,0.0125900185666978,0.012812877073884,0.0227921353653073,0.0236704275012016,0.0073713958263397,0.007506410125643,0.0076591691467911,0.0078728236258029,0.0076814730418846,0.0078630670905113,0.0076814730418846,0.0078630670905113,first,1.0,0.0,0.9699406623840332,-1.288496732711792,0.0,0.9699406623840332,1.0,0.9711439609527588,False,0.9704930782318116,0.0004287289630156,0.0012032985687255,0.0227921344339847,0.0007715435931459,0.0076814731582999,0.0001062288574757,129000,129001,121,9,0,False,True,1.0,1.0,0.182102748934113,0.0189729998683815,1.1619892624088813e-06,1.0401113581526287e-09,0.0,0.0,0.0,0.0,42.0,9.0,42.0,0.2923240913265746,0.3256215526993701,0.0833333333333333,0.0341611045686468,0.0323872407545971,0.075913565708104,0.2400359045459269,2.802172659876318,5.730200611167335,56.69722305602962,681.5174560546875,13.892990112304688,19.796033767483745,0.7898501229263872,1711.592529296875,23.074338912963867,15.796799786462373,0.819818328789271,0.5304904580116272,0.0915336608886718,0.3871893882751465,0.0189787950366735,0.0279752761125564,0.0300593376159667,0.9699406623840332,0.0194138001674,0.2286886335328856,14.0,0.0430990787348744,0.2286886335328856,8.959094598513545e-07,4.594166374004439e-06,0.0,0.0,3.1225022567582528e-15,0.0,0.0,1.3799640750150367e-16,0.0,4.715110971732956e-18,3.1225022567582528e-15,0.0,True,121,8,success,-1,True,False,False,-1,,cream_cheese_1,False,-1,False,-1,False,0.0,1.0,121,62,0.2349972627875002,0.9989090462023736,0.29821557196133,3.425327607203948,2852951.022635292,0.0300593376159667,,,,,,,,,,False,False
libero_object,1,1,0,1,122097,0,122097,0,0,pick up the cream cheese and place it in the basket,-1,-1,none,-1,-1,-1,-1,4.0,0.0027600899338722,0.0100907860323786,0.0073790098540484,0.0053785424679517,0.0007351295207627,0.0009796133963391,0.0153267560526728,0.2915641665458679,0.0018031186191365,0.0048032402992248,0.0007702604634687,0.0015994627028703,0.8640729784965515,2.692582368850708,36.34126281738281,2.6897077560424805,12.316147804260254,63.70390319824219,0.0067889154888689,0.0125659564509987,0.021481268107891,0.0055978223681449,0.009959315881133,0.0182249899953603,0.0065150777809321,0.011348221451044,0.0184570830315351,0.0076449395855888,0.0077158734202384,0.0096845112275332,0.0100543871521949,0.0212849229574203,0.0216905940324068,0.0073821245459839,0.0076077282428741,0.0077175034675747,0.0079675000160932,0.0072254533879458,0.0072802258655428,0.0072254533879458,0.0072802258655428,first,1.0,0.0,0.2945566773414612,1.659630537033081,0.0,0.2945566773414612,0.0,0.2945566773414612,True,0.2915641665458679,0.0018031186191365,0.0048032402992248,0.0212849229574203,0.0004659828555304,0.0072254533879458,4.4871459977002814e-05,122097,122097,16,16,0,False,False,0.0,0.0,2.324529457808921e-16,0.2554429447784821,1.0401113633140918e-09,1.0401113581526287e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5538640271264659,0.8247901967048551,0.0888888888888888,0.1020466463066235,0.1011697786480036,0.1275583078832793,0.290852786016803,1.683830462384858,3.699788006827641,79.18586158176016,516.1312866210938,12.077374458312988,21.003201751266424,0.8271299453985348,871.9537353515625,15.206639289855955,18.72586918383226,0.8825061987567733,0.015086205676198,0.003567730076611,0.0104510188102722,0.0127713093534111,0.0080253975465893,0.2945566773414612,0.2945566773414612,1.6897263723488127e-10,1.1791583321477212e-09,14.0,2.6367796834847473e-16,4.231374934263009e-19,5.463251379067557e-14,2.1585712607629908e-14,2.8050314110420908e-12,2.817184186327333e-12,1.1791581933704331e-09,7.958382443651547e-13,1.1796119636642288e-16,2.9517073108962994e-16,9.743941764561724e-15,5.01746484469954e-18,1.1791583321477212e-09,7.95697509787748e-13,True,121,8,success,-1,True,False,False,-1,,cream_cheese_1,False,-1,False,-1,False,0.0,1.0,121,66,0.2343040566808628,0.998485833710662,0.2950720621202796,3.203706017698641,1852513.6469167804,0.7054433226585388,,,,,,,,,,False,False
libero_object,1,1,0,1,122097,0,122097,1,16,pick up the cream cheese and place it in the basket,-1,-1,none,-1,-1,-1,-1,4.0,0.0018319825176149,0.0100349513813853,0.0083034858107566,0.0034927625674754,0.0005125114112161,0.0008080550469458,0.0102524608373641,0.3355483114719391,0.000414016918512,0.0010281205177307,0.0006276265485212,0.0010366489877924,0.929271161556244,2.9474565982818604,31.328901290893555,2.2699689865112305,9.027734756469728,56.20053482055664,0.0062146228738129,0.0115224216133356,0.0269464533776044,0.0055338903330266,0.0098678916692733,0.0171139407902956,0.0057146968320012,0.0101205194368958,0.0171926580369472,0.0077295468654483,0.0078806104138493,0.010084917070344,0.0106710717082023,0.0216211243532598,0.0225188415497541,0.007453765370883,0.0075730616226792,0.0077308877371251,0.0078397598117589,0.0072448343271389,0.0074852840043604,0.0072448343271389,0.0074852840043604,first,1.0,0.0,0.3354207277297973,-0.3081606924533844,0.0,0.3354207277297973,1.0,0.336255133152008,False,0.3355483114719391,0.000414016918512,0.0010281205177307,0.021621124818921,0.0007329380023293,0.0072448342107236,0.0001444029039703,123097,123098,32,16,0,False,False,0.0,0.0,2.324529457808921e-16,0.1265443023287008,1.0401113638691447e-09,1.0401113581526287e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7686714972466554,0.8497678605039145,0.0777777777777777,0.1614397084913754,0.1535503612475844,0.2017996356142192,0.2694030096194006,1.5286392271451636,3.9374882884558073,27.717655367275967,507.8653259277344,11.84860610961914,21.07331798112753,0.8364723893149618,946.7506103515624,15.75084400177002,18.36844767093816,0.8650792005291396,0.0108160953968763,0.0029241282027214,0.0075215809047222,0.0053549939766526,0.0086224125698208,0.3354207277297973,0.3354207277297973,8.119773989084428e-16,5.551115123125783e-15,14.0,0.0,2.5323113103701083e-18,0.0,2.1684043449710093e-18,0.0,6.133173666733498e-19,5.551115123125783e-15,0.0,0.0,2.577691976159136e-16,0.0,2.3701078287057386e-18,5.551115123125783e-15,0.0,True,121,8,success,-1,True,False,False,-1,,cream_cheese_1,False,-1,False,-1,False,0.0,1.0,121,66,0.2343040566808628,0.998485833710662,0.2950720621202796,3.203706017698641,1852513.6469167804,0.6645792722702026,,,,,,,,,,False,False
