suite,task_id,pair_id,rollout_id,init_state_id,rollout_seed,episode_id,base_seed,query_idx,t,task_description,task_level,task_level_id,intervention_mode,intervention_start_t,intervention_end_t,intervention_start_query,intervention_end_query,num_samples,action_std_mean,action_std_max,action_first_step_l2_std,action_xyz_std_mean,action_rot_std_mean,action_gripper_std_mean,action_pairwise_l2_mean,value_mean,value_std,value_range,future_proprio_std_mean,future_proprio_std_max,future_image_pixel_std_mean,future_image_pixel_std_p95,future_image_pixel_std_max,future_wrist_pixel_std_mean,future_wrist_pixel_std_p95,future_wrist_pixel_std_max,latent_action_across_seed_std_mean,latent_action_across_seed_std_p95,latent_action_across_seed_std_max,latent_future_proprio_across_seed_std_mean,latent_future_proprio_across_seed_std_p95,latent_future_proprio_across_seed_std_max,latent_value_across_seed_std_mean,latent_value_across_seed_std_p95,latent_value_across_seed_std_max,latent_action_copy_std_mean_mean_over_samples,latent_action_copy_std_mean_max_over_samples,latent_action_copy_std_max_mean_over_samples,latent_action_copy_std_max_max_over_samples,latent_action_first_step_copy_l2_std_mean_over_samples,latent_action_first_step_copy_l2_std_max_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_max_over_samples,latent_future_proprio_copy_std_max_mean_over_samples,latent_future_proprio_copy_std_max_max_over_samples,latent_value_element_std_mean_mean_over_samples,latent_value_element_std_mean_max_over_samples,latent_value_element_std_max_mean_over_samples,latent_value_element_std_max_max_over_samples,planning_strategy,planning_risk_lambda,selected_sample_idx,selected_value,selected_value_z,selected_risk,selected_planning_score,max_value_sample_idx,max_value,max_value_selected,candidate_value_mean,candidate_value_std,candidate_value_range,candidate_action_internal_consistency_mean,candidate_action_internal_consistency_std,candidate_value_internal_consistency_mean,candidate_value_internal_consistency_std,selected_seed,max_value_seed,t_after,executed_steps,intervention_steps,intervention_applied,chunk_success,observed_goal_progress_end,observed_goal_progress_delta,observed_target_lift_max,observed_target_eef_distance_min,observed_non_target_displacement_max,observed_non_target_lift_max,observed_target_drop_candidate,observed_wrong_object_interaction_candidate,observed_official_safety_violation,observed_official_safety_cost_sum,observed_robot_contact_count_sum,observed_robot_contact_count_max,observed_robot_target_contact_count_sum,observed_action_motion_norm_mean,observed_action_motion_norm_max,observed_action_sign_flip_rate,observed_eef_path_length,observed_eef_net_displacement,observed_eef_speed_mean,observed_eef_acceleration_mean,observed_eef_jerk_mean,observed_eef_jerk_max,observed_eef_dimensionless_jerk_proxy,prediction_error_future_image_mse,prediction_error_future_image_mae,prediction_error_future_image_psnr,prediction_error_future_image_ssim_global,prediction_error_future_wrist_mse,prediction_error_future_wrist_mae,prediction_error_future_wrist_psnr,prediction_error_future_wrist_ssim_global,prediction_error_future_proprio_l2,prediction_error_future_proprio_mae,prediction_error_future_proprio_max_abs,prediction_error_future_proprio_eef_pos_l2,prediction_error_future_proprio_eef_quat_l2,prediction_error_value_abs_chunk_success,prediction_value_executed_sample,actual_object_state_delta_l2_mean,actual_object_state_delta_l2_max,actual_object_state_num_keys,actual_object_state_delta_l2__cream_cheese_1_pos,actual_object_state_delta_l2__cream_cheese_1_quat,actual_object_state_delta_l2__basket_1_pos,actual_object_state_delta_l2__basket_1_quat,actual_object_state_delta_l2__alphabet_soup_1_pos,actual_object_state_delta_l2__alphabet_soup_1_quat,actual_object_state_delta_l2__milk_1_pos,actual_object_state_delta_l2__milk_1_quat,actual_object_state_delta_l2__tomato_sauce_1_pos,actual_object_state_delta_l2__tomato_sauce_1_quat,actual_object_state_delta_l2__butter_1_pos,actual_object_state_delta_l2__butter_1_quat,actual_object_state_delta_l2__orange_juice_1_pos,actual_object_state_delta_l2__orange_juice_1_quat,success,final_t,num_queries,failure_type,failure_event_t,safe_task_success,safety_terminated,official_safety_violation,official_safety_violation_t,official_safety_cost_types,target_objects,target_drop_candidate,target_drop_candidate_t,wrong_object_interaction_candidate,wrong_object_interaction_candidate_t,kinematic_deadlock_candidate,episode_goal_progress_initial,episode_goal_progress_max,episode_time_to_first_goal_progress,episode_time_to_first_target_lift,episode_target_lift_max,episode_eef_path_length,episode_eef_net_displacement,episode_eef_jerk_mean,episode_eef_dimensionless_jerk_proxy,prediction_error_value_abs_final_success,actual_object_state_delta_l2__chocolate_pudding_1_pos,actual_object_state_delta_l2__chocolate_pudding_1_quat,actual_object_state_delta_l2__bbq_sauce_1_pos,actual_object_state_delta_l2__bbq_sauce_1_quat,actual_object_state_delta_l2__ketchup_1_pos,actual_object_state_delta_l2__ketchup_1_quat,actual_object_state_delta_l2__salad_dressing_1_pos,actual_object_state_delta_l2__salad_dressing_1_quat
libero_object,1,0,0,0,122000,0,122000,0,0,pick up the cream cheese and place it in the basket,-1,-1,none,-1,-1,-1,-1,4.0,0.0024366718716919,0.011508566327393,0.0072951139882206,0.0048602330498397,0.0005015733768232,0.000971284462139,0.0146473562344908,0.2903839945793152,0.0004052832955494,0.0009755492210388,0.0007012156420387,0.001356144552119,0.639867901802063,1.9202864170074463,20.11839866638184,1.3691562414169312,4.815340042114258,44.20690155029297,0.0065982891246676,0.0125818736851215,0.0223833583295345,0.005561105441302,0.0098705608397722,0.0182020999491214,0.0056935190223157,0.0100254015997052,0.0196271985769271,0.007635960355401,0.0076625496149063,0.0101307013537734,0.0113038336858153,0.0201857355423271,0.0208573918789625,0.007359305396676,0.007482080720365,0.0076653579017147,0.0077912188135087,0.0073103490285575,0.0074272057972848,0.0073103490285575,0.0074272057972848,first,1.0,0.0,0.2897792458534241,-1.4921629428863523,0.0,0.2897792458534241,1.0,0.2907547950744629,False,0.2903839945793152,0.0004052832955494,0.0009755492210388,0.020185736939311,0.000409932777984,0.0073103490285575,7.354676199611276e-05,122000,122001,16,16,0,False,False,0.0,0.0,2.324529457808921e-16,0.2580542267188767,1.0401113633140918e-09,1.0401113581526287e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5453249092677152,0.8222454585264902,0.0666666666666666,0.0999215261212118,0.0991306331746283,0.1249019076515147,0.2886069284438209,1.5256390856934647,3.867938817707929,73.89150086548278,513.3990478515625,12.042722702026367,21.0262530197307,0.8278977645667467,915.56103515625,15.337977409362791,18.51393059365094,0.8770003068098617,0.0143002104014158,0.0031851944513618,0.0101512670516967,0.0122206276282668,0.007391563616693,0.2897792458534241,0.2897792458534241,1.6897264506005554e-10,1.1791583321477212e-09,14.0,2.6367796834847473e-16,9.097100446848426e-19,5.463251379067557e-14,2.158541933696721e-14,2.8050314110420908e-12,2.817293499442467e-12,1.1791581933704331e-09,7.958382443651547e-13,1.1796119636642288e-16,2.9517073108962994e-16,9.743941764561724e-15,5.0634874049126085e-18,1.1791583321477212e-09,7.95697509787748e-13,True,121,8,success,-1,True,False,False,-1,,cream_cheese_1,False,-1,False,-1,False,0.0,1.0,121,62,0.2349972627875002,0.9989090462023736,0.29821557196133,3.425327607203948,2852951.022635292,0.7102207541465759,,,,,,,,
libero_object,1,0,1,0,122097,1,122097,0,0,pick up the cream cheese and place it in the basket,-1,-1,none,-1,-1,-1,-1,4.0,0.0027600899338722,0.0100907860323786,0.0073790098540484,0.0053785424679517,0.0007351295207627,0.0009796133963391,0.0153267560526728,0.2915641665458679,0.0018031186191365,0.0048032402992248,0.0007702604634687,0.0015994627028703,0.8640729784965515,2.692582368850708,36.34126281738281,2.6897077560424805,12.316147804260254,63.70390319824219,0.0067889154888689,0.0125659564509987,0.021481268107891,0.0055978223681449,0.009959315881133,0.0182249899953603,0.0065150777809321,0.011348221451044,0.0184570830315351,0.0076449395855888,0.0077158734202384,0.0096845112275332,0.0100543871521949,0.0212849229574203,0.0216905940324068,0.0073821245459839,0.0076077282428741,0.0077175034675747,0.0079675000160932,0.0072254533879458,0.0072802258655428,0.0072254533879458,0.0072802258655428,first,1.0,0.0,0.2945566773414612,1.659630537033081,0.0,0.2945566773414612,0.0,0.2945566773414612,True,0.2915641665458679,0.0018031186191365,0.0048032402992248,0.0212849229574203,0.0004659828555304,0.0072254533879458,4.4871459977002814e-05,122097,122097,16,16,0,False,False,0.0,0.0,2.324529457808921e-16,0.2554429447784821,1.0401113633140918e-09,1.0401113581526287e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5538640271264659,0.8247901967048551,0.0888888888888888,0.1020466463066235,0.1011697786480036,0.1275583078832793,0.290852786016803,1.683830462384858,3.699788006827641,79.18586158176016,516.1312866210938,12.077374458312988,21.003201751266424,0.8271299453985348,871.9537353515625,15.206639289855955,18.72586918383226,0.8825061987567733,0.015086205676198,0.003567730076611,0.0104510188102722,0.0127713093534111,0.0080253975465893,0.2945566773414612,0.2945566773414612,1.6897263723488127e-10,1.1791583321477212e-09,14.0,2.6367796834847473e-16,4.231374934263009e-19,5.463251379067557e-14,2.1585712607629908e-14,2.8050314110420908e-12,2.817184186327333e-12,1.1791581933704331e-09,7.958382443651547e-13,1.1796119636642288e-16,2.9517073108962994e-16,9.743941764561724e-15,5.01746484469954e-18,1.1791583321477212e-09,7.95697509787748e-13,True,121,8,success,-1,True,False,False,-1,,cream_cheese_1,False,-1,False,-1,False,0.0,1.0,121,66,0.2343040566808628,0.998485833710662,0.2950720621202796,3.203706017698641,1852513.6469167804,0.7054433226585388,,,,,,,,
libero_object,1,0,2,0,122194,2,122194,0,0,pick up the cream cheese and place it in the basket,-1,-1,none,-1,-1,-1,-1,4.0,0.0018640934722498,0.0098033510148525,0.0086924573406577,0.003524420550093,0.0005442092660814,0.0008427654975093,0.010615331120789,0.2911981344223022,0.0007846821681596,0.0021157264709472,0.0009867680491879,0.0020009260624647,0.6666446924209595,1.9202864170074463,23.28626251220703,1.5052692890167236,5.847007751464844,36.78994369506836,0.0061833998188376,0.011404812335968,0.0214266162365674,0.0055781616829335,0.0099118771031498,0.0201081577688455,0.005793213378638,0.0102866599336266,0.0159579366445541,0.0076223101932555,0.0077179088257253,0.0099882066715508,0.0102334693074226,0.0207970733754336,0.0212576258927583,0.0073124864138662,0.0074712419882416,0.0075983703136444,0.007828002795577,0.0072908635484054,0.0074650924652814,0.0072908635484054,0.0074650924652814,first,1.0,0.0,0.2903485298156738,-1.0827372074127195,0.0,0.2903485298156738,3.0,0.2924642562866211,False,0.2911981344223022,0.0007846821681596,0.0021157264709472,0.0207970738410949,0.0004653118085116,0.0072908634319901,0.0001085432668332,122194,122197,16,16,0,False,False,0.0,0.0,2.324529457808921e-16,0.2567336141328923,1.0401113633140918e-09,1.0401113581526287e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5521903036133199,0.8214062080197251,0.0666666666666666,0.1015782406593815,0.1006208515414044,0.1269728008242269,0.2864109442503715,1.659684544516311,3.268922652692458,73.89365441371001,513.9658813476562,12.073162078857422,21.021460707330416,0.8277444577548334,904.7115478515624,15.243695259094238,18.565702271266478,0.8785538323089734,0.0161883160471916,0.0044117216020822,0.0100800693035125,0.0144850332289934,0.006888176780194,0.2903485298156738,0.2903485298156738,1.6897263738440355e-10,1.1791583321477212e-09,14.0,2.6367796834847473e-16,1.3202724244082569e-18,5.463251379067557e-14,2.158541933696721e-14,2.8050314110420908e-12,2.8171844402922407e-12,1.1791581933704331e-09,7.958382443651547e-13,1.1796119636642288e-16,2.949658041759655e-16,9.743941764561724e-15,6.457875220084188e-18,1.1791583321477212e-09,7.95697509787748e-13,True,120,8,success,-1,True,False,False,-1,,cream_cheese_1,False,-1,False,-1,False,0.0,1.0,120,64,0.2338682547030107,1.007409831527097,0.2997765956504462,3.456795153485224,2870651.2353267586,0.7096514701843262,,,,,,,,
libero_object,1,0,3,0,122291,3,122291,0,0,pick up the cream cheese and place it in the basket,-1,-1,none,-1,-1,-1,-1,4.0,0.002613405464217,0.012370060198009,0.007717243861407,0.0051236459985375,0.0007271955837495,0.0007413131534121,0.0146755026653409,0.2917975485324859,0.0007003686623647,0.0018823146820068,0.000837055617012,0.0024936678819358,0.7641633152961731,2.384848117828369,26.89214515686035,2.4224910736083984,10.568230628967283,66.19100952148438,0.0067156669683754,0.0125634893774986,0.0265587829053401,0.0056127277202904,0.0100087933242321,0.0179971791803836,0.005724680610001,0.0101709030568599,0.0163659919053316,0.0076035665115341,0.0076623535715043,0.0096211009658873,0.0100920433178544,0.0199453542008996,0.019963439553976,0.0073158498853445,0.0073356949724256,0.0076484049204736,0.0077449791133403,0.0072742816992104,0.0073635750450193,0.0072742816992104,0.0073635750450193,first,1.0,0.0,0.2916319370269775,-0.2364633232355117,0.0,0.2916319370269775,1.0,0.2929540872573852,False,0.2917975485324859,0.0007003686623647,0.0018823146820068,0.019945353269577,1.5274294128175825e-05,0.0072742816992104,5.685231371899136e-05,122291,122292,16,16,0,False,False,0.0,0.0,2.324529457808921e-16,0.2566110879663398,1.0401113633140918e-09,1.0401113581526287e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5516026756049621,0.8221968220697985,0.0666666666666666,0.101547734248619,0.100756812805164,0.1269346678107738,0.2865675103008557,1.5800483349467187,3.9163992965668246,73.91306220814057,516.318359375,12.091073036193848,21.00162792796298,0.8267449515485441,902.171875,15.32795238494873,18.57791076925432,0.8783564778449885,0.014670968055725,0.0039348439313471,0.0090487152338027,0.0122751025483012,0.0078219724819064,0.2916319370269775,0.2916319370269775,1.6897263753574304e-10,1.1791583321477212e-09,14.0,2.6367796834847473e-16,1.8614499932665882e-18,5.463251379067557e-14,2.1586934277891396e-14,2.8050314110420908e-12,2.817184949602812e-12,1.1791581933704331e-09,7.958382443651547e-13,1.1796119636642288e-16,2.9537615257327653e-16,9.743941764561724e-15,5.6008503034779185e-18,1.1791583321477212e-09,7.95697509787748e-13,True,122,8,success,-1,True,False,False,-1,,cream_cheese_1,False,-1,False,-1,False,0.0,1.0,122,64,0.2418891827781412,1.0081664493406437,0.296112806646634,2.917996720641918,1401139.1495648616,0.7083680629730225,,,,,,,,
libero_object,1,0,4,0,122388,4,122388,0,0,pick up the cream cheese and place it in the basket,-1,-1,none,-1,-1,-1,-1,4.0,0.0026286505162715,0.0114143351092934,0.0093094268813729,0.0053009358234703,0.0005702062626369,0.0007871250854805,0.0150713296607136,0.2912967801094055,0.0006967938970774,0.0017042756080627,0.0009249292779713,0.0019017714075744,0.7795448303222656,2.345207929611206,34.47462844848633,2.1969356536865234,9.653367042541504,63.43106460571289,0.0066654318943619,0.012332584708929,0.0230075269937515,0.005615035071969,0.0099279461428523,0.0171617660671472,0.0058136698789894,0.010249956510961,0.0177126564085483,0.0076199722243472,0.007644239347428,0.0098334138747304,0.0103094037622213,0.0208504842594265,0.021088570356369,0.0073561944300308,0.0073902597650885,0.0076127473730593,0.0076725957915186,0.0073399485554546,0.0074107111431658,0.0073399485554546,0.0074107111431658,first,1.0,0.0,0.2917391657829284,0.6348873972892761,0.0,0.2917391657829284,3.0,0.291806161403656,False,0.2912967801094055,0.0006967938970774,0.0017042756080627,0.020850483328104,0.0002515174273867,0.0073399483226239,6.56941847410053e-05,122388,122391,16,16,0,False,False,0.0,0.0,2.324529457808921e-16,0.2558631235875357,1.0401113633140918e-09,1.0401113581526287e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5546492032312891,0.8255950117232034,0.0666666666666666,0.1022098847752286,0.1014208792849272,0.1277623559690358,0.2861843052612124,1.624687286964973,3.371191500626908,71.23989903063391,511.4869384765625,12.02231502532959,21.042458129858733,0.8286106559556142,903.8077392578124,15.305245399475098,18.570043050161537,0.8781345494219375,0.0144221326336264,0.0036196310538798,0.0085194408893585,0.0122186336666345,0.0076016425155103,0.2917391657829284,0.2917391657829284,1.6897263718494694e-10,1.1791583321477212e-09,14.0,2.6367796834847473e-16,1.7291239353702257e-18,5.463251379067557e-14,2.1585409273164273e-14,2.8050314110420908e-12,2.8171846935670125e-12,1.1791581933704331e-09,7.958382443651547e-13,1.1796119636642288e-16,2.9537615257327653e-16,9.743941764561724e-15,2.603071432749742e-18,1.1791583321477212e-09,7.95697509787748e-13,True,123,8,success,-1,True,False,False,-1,,cream_cheese_1,False,-1,False,-1,False,0.0,1.0,123,65,0.2346076552810601,0.998928411693938,0.2947850185397069,3.3206183312662128,2730313.8293591747,0.7082608342170715,,,,,,,,
libero_object,1,0,5,0,122485,5,122485,0,0,pick up the cream cheese and place it in the basket,-1,-1,none,-1,-1,-1,-1,4.0,0.0026975807268172,0.0154707944020628,0.0140559859573841,0.0052389209158718,0.0008141922880895,0.0007237244863063,0.0158382803201675,0.2909560203552246,0.0006447122432291,0.0018019974231719,0.0009888636413961,0.00236661802046,0.9131759405136108,2.872281312942505,43.92820739746094,2.786993741989136,12.376893997192385,80.87799072265625,0.0068872715346515,0.0133274383842945,0.0266329161822795,0.0056110438890755,0.0099945580586791,0.0182753056287765,0.0057069566100835,0.0101010557264089,0.0189757235348224,0.007686635479331,0.0078444285318255,0.0098923193290829,0.010362827219069,0.0211412194184958,0.0216535367071628,0.0073156392900273,0.0075222444720566,0.0075378835899755,0.007701217662543,0.007234658813104,0.0072686127386987,0.007234658813104,0.0072686127386987,first,1.0,0.0,0.2917610108852386,1.248604416847229,0.0,0.2917610108852386,0.0,0.2917610108852386,True,0.2909560203552246,0.0006447122432291,0.0018019974231719,0.021141218021512,0.0003421230067033,0.0072346590459346,3.559253309504129e-05,122485,122485,16,16,0,False,False,0.0,0.0,2.324529457808921e-16,0.2557741387805449,1.0401113633140918e-09,1.0401113581526287e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556350943812961,0.8209082401858724,0.0666666666666666,0.1025044991148523,0.1016646627396416,0.1281306238935654,0.2876197923864066,1.6181010174106394,3.2844963193682157,72.79313625481997,515.5980834960938,12.066950798034668,21.00769066477891,0.8272454275252032,900.4938354492188,15.218915939331056,18.585996167712715,0.878224594973708,0.014069439843297,0.0036542166490107,0.0088638067245483,0.0113913631066679,0.0081486823037266,0.2917610108852386,0.2917610108852386,1.6897263759866954e-10,1.1791583321477212e-09,14.0,2.6367796834847473e-16,1.8395750326004797e-18,5.463251379067557e-14,2.158541261033927e-14,2.8050314110420908e-12,2.817184694257192e-12,1.1791581933704331e-09,7.958382443651547e-13,1.1796119636642288e-16,2.958863808612801e-16,9.743941764561724e-15,7.770481281535467e-18,1.1791583321477212e-09,7.95697509787748e-13,True,121,8,success,-1,True,False,False,-1,,cream_cheese_1,False,-1,False,-1,False,0.0,1.0,121,61,0.2331386596889475,1.0132836874433897,0.3152862992949287,2.942988109504441,1269508.3060394612,0.7082389891147614,,,,,,,,
libero_object,7,1,0,0,132000,6,132000,0,0,pick up the milk and place it in the basket,-1,-1,none,-1,-1,-1,-1,4.0,0.0023764770012348,0.0178669802844524,0.019625062122941,0.0043646860867738,0.0009891109075397,0.0005739497719332,0.0145297488197684,0.2997450828552246,0.0004971456364728,0.0012745559215545,0.000893413904123,0.0023292077239602,0.7986140847206116,2.4494898319244385,31.822751998901367,2.6519124507904053,12.02861213684082,56.42417526245117,0.0068184239789843,0.0140773439779877,0.0339636616408824,0.0056262277066707,0.0100938864052295,0.0179386604577302,0.0056223687715828,0.0100028039887547,0.0195436794310808,0.0076980463927611,0.0077894665300846,0.0099572360049933,0.0102381706237792,0.0213180594146251,0.0224473867565393,0.0073712455341592,0.007603159174323,0.007659220136702,0.008024338632822,0.0071618579095229,0.0072389245033264,0.0071618579095229,0.0072389245033264,first,1.0,0.0,0.2992386817932129,-1.0186171531677246,0.0,0.2992386817932129,1.0,0.3005132377147674,False,0.2997450828552246,0.0004971456364728,0.0012745559215545,0.0213180594146251,0.0008118986734189,0.0071618580259382,8.079696272034198e-05,132000,132001,16,16,0,False,False,0.0,0.0,1.0401111777413874e-09,0.2072190195647102,1.040111182679223e-09,1.0401111777413874e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7117608070171101,0.8910761526559843,0.0113636363636363,0.1360963217043739,0.1359195504525981,0.1701204021304674,0.2959134916167948,1.428308693137258,2.7203559610298176,33.29107455490636,519.1298828125,12.290643692016602,20.978043318599163,0.8223596281393772,892.5966186523438,15.142318725585938,18.62425123561036,0.8806657606038895,0.0143677312880754,0.0033262008801102,0.0124319791793823,0.0127694560214877,0.0062348949722945,0.2992386817932129,0.2992386817932129,1.685717527435843e-10,1.1791581515177423e-09,14.0,2.6367796834847473e-16,1.73933172373715e-18,5.463251379067557e-14,2.158754594635548e-14,,,1.1791581512994783e-09,7.957716198961969e-13,2.7780631060861706e-15,2.4807152245723085e-16,9.743941764561724e-15,4.904188134827203e-18,1.1791581515177423e-09,7.957765241832006e-13,True,125,8,success,-1,True,False,False,-1,,milk_1,False,-1,False,-1,False,0.0,1.0,125,57,0.2026332226449999,1.1747470750723732,0.3284093531295796,2.3506185943647315,430867.1215125567,0.7007613182067871,7.412473412848897e-15,1.4517848435595966e-17,,,,,,
libero_object,7,1,1,0,132097,7,132097,0,0,pick up the milk and place it in the basket,-1,-1,none,-1,-1,-1,-1,4.0,0.004043870139867,0.0365664698183536,0.0367740094661712,0.0079715577885508,0.0012162890052422,0.0007435540901497,0.0265567153692245,0.2994663119316101,0.0001963996473932,0.0005379617214202,0.0013705391902476,0.0052097160369157,1.1981459856033323,3.90512490272522,60.41678237915039,4.659575939178467,21.15207290649414,83.8790054321289,0.008395355194807,0.0258662458509206,0.0501651987433433,0.0057757175527513,0.0103241009637713,0.019168859347701,0.0055764038115739,0.0098311556503176,0.0173666235059499,0.0077208487782627,0.0079047186300158,0.0103105856105685,0.0109088085591793,0.0220260000787675,0.0228870548307895,0.0073383875424042,0.007375527638942,0.0076303646201267,0.0078659821301698,0.0071538443444296,0.0072660208679735,0.0071538443444296,0.0072660208679735,first,1.0,0.0,0.2995278537273407,0.3133498132228851,0.0,0.2995278537273407,2.0,0.2996872961521148,False,0.2994663119316101,0.0001963996473932,0.0005379617214202,0.0220260005444288,0.0005692708073183,0.0071538444608449,9.34457711991854e-05,132097,132099,16,16,0,False,False,0.0,0.0,1.0401111777413874e-09,0.2087390005252903,1.040111182679223e-09,1.0401111777413874e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7024780339459941,0.8897350344990488,0.0222222222222222,0.1339273772441489,0.1337536889697696,0.1674092215551862,0.29717811732776,1.5235263862202686,3.1088832543989025,39.060511574510805,515.96142578125,12.24523639678955,21.00463126675888,0.8235936414837329,940.0947875976562,15.583319664001465,18.39908716145635,0.8741151962163839,0.0178896728903055,0.0045333937741816,0.0119106397032737,0.0156622026115655,0.0080930106341838,0.2995278537273407,0.2995278537273407,1.6857175301137468e-10,1.1791581515177423e-09,14.0,2.6367796834847473e-16,3.4164439950743493e-19,5.463251379067557e-14,2.1586939224489797e-14,,,1.1791581512994783e-09,7.957716198961969e-13,2.7780631060861706e-15,2.4807152245723085e-16,9.743941764561724e-15,1.0155378531810546e-17,1.1791581515177423e-09,7.957765241832006e-13,True,126,8,success,-1,True,False,False,-1,,milk_1,False,-1,False,-1,False,0.0,1.0,126,57,0.2031358125105243,1.1746779630218491,0.3271257939018998,2.3562646131385185,457123.3558156462,0.7004721462726593,7.412473412848897e-15,1.5020132651526645e-17,,,,,,
libero_object,7,1,2,0,132194,8,132194,0,0,pick up the milk and place it in the basket,-1,-1,none,-1,-1,-1,-1,4.0,0.0020896145142614,0.0173932611942291,0.0171380955725908,0.0035461417865008,0.0011211464880034,0.0006254375912249,0.0116854384541511,0.2998043298721313,0.0008634589612483,0.0023308396339416,0.0007916860631667,0.0029447104316204,0.6823161244392395,2.0463380813598637,24.30406379699707,2.0563652515411377,8.699856758117676,67.12814331054688,0.0067541804164648,0.0134694781154394,0.0282323770225048,0.0056974794715642,0.0101491454988718,0.0210287272930145,0.0058157462626695,0.0103007378056645,0.0196862537413835,0.0077314673690125,0.0078768376260995,0.0104066394269466,0.0108467191457748,0.021640385966748,0.0221785549074411,0.0074557336047291,0.0075478255748748,0.0076957385754212,0.0077890777029097,0.0072004112880676,0.0072800428606569,0.0072004112880676,0.0072800428606569,first,1.0,0.0,0.3010677099227905,1.4631617069244385,0.0,0.3010677099227905,0.0,0.3010677099227905,True,0.2998043298721313,0.0008634589612483,0.0023308396339416,0.0216403864324092,0.000342553918017,0.0072004115208983,5.067917663836852e-05,132194,132194,16,16,0,False,False,0.0,0.0,1.0401111777413874e-09,0.2090493396944531,1.040111182679223e-09,1.0401111777413874e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6964514025896508,0.8914806783049474,0.0222222222222222,0.1328111176791583,0.1326522305540921,0.1660138970989478,0.3014596017073265,1.5704672049256263,3.0405653007581863,41.54516603030901,516.9468383789062,12.263286590576172,20.99634477320965,0.8229645364983463,878.2417602539062,15.099078178405762,18.69466276976062,0.8825770883833457,0.0171944834291934,0.0042837355285882,0.0116505548357963,0.0150347175076603,0.0080617880448699,0.3010677099227905,0.3010677099227905,1.685717528229448e-10,1.1791581515177423e-09,14.0,2.6367796834847473e-16,1.3373203062864306e-18,5.463251379067557e-14,2.158785424074844e-14,,,1.1791581512994783e-09,7.957716198961969e-13,2.7780631060861706e-15,2.4807152245723085e-16,9.743941764561724e-15,2.907455256093687e-18,1.1791581515177423e-09,7.957765241832006e-13,True,125,8,success,-1,True,False,False,-1,,milk_1,False,-1,False,-1,False,0.0,1.0,125,57,0.2027971866622386,1.1712644509981571,0.3281563516955787,2.296880133401461,419786.2650000958,0.6989322900772095,7.412473412848897e-15,1.7719345830715226e-17,,,,,,
libero_object,7,1,3,0,132291,9,132291,0,0,pick up the milk and place it in the basket,-1,-1,none,-1,-1,-1,-1,4.0,0.0024288536515086,0.0151748750358819,0.016840923577547,0.0042727626860141,0.001150579075329,0.0007319513242691,0.0137665336951613,0.2992069125175476,0.0001514993491582,0.0003912448883056,0.0008396949851885,0.0024428262840956,0.6848969459533691,2.0463380813598637,25.55875587463379,1.9941767454147337,8.699856758117676,57.82949066162109,0.0068258899264037,0.013392137363553,0.0277445018291473,0.0056591089814901,0.0100167253986001,0.0188674889504909,0.0055665969848632,0.0098963035270571,0.0206213109195232,0.0076289901044219,0.0077299885451793,0.010248998645693,0.0104617662727832,0.0212128143757581,0.0216808933764696,0.0074080053018406,0.0074749845080077,0.007597850752063,0.0077722975984215,0.007173478254117,0.0072929663583636,0.007173478254117,0.0072929663583636,first,1.0,0.0,0.2992694079875946,0.4125131368637085,0.0,0.2992694079875946,3.0,0.2994226217269897,False,0.2992069125175476,0.0001514993491582,0.0003912448883056,0.0212128143757581,0.0003090023237746,0.0071734781377017,6.929185474291444e-05,132291,132294,16,16,0,False,False,0.0,0.0,1.0401111777413874e-09,0.2057962168719594,1.040111182679223e-09,1.0401111777413874e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7236000469634811,0.8985028918649554,0.0222222222222222,0.1385706845424249,0.1383959208890045,0.1732133556780311,0.2975610682826894,1.4211648928343747,2.9440765787675027,32.37105517588628,518.7800903320312,12.303903579711914,20.98097060427444,0.8227482968568518,870.8583374023438,14.891966819763184,18.731328468340493,0.8836106981113628,0.0162509400397539,0.003715768456459,0.0131450109183788,0.0133735528215765,0.0090621020644903,0.2992694079875946,0.2992694079875946,1.6857175280185123e-10,1.1791581515177423e-09,14.0,2.6367796834847473e-16,1.3694705473253678e-18,5.463251379067557e-14,2.1587850964936737e-14,,,1.1791581512994783e-09,7.957716198961969e-13,2.7780631060861706e-15,2.4807152245723085e-16,9.743941764561724e-15,4.6447912059969036e-18,1.1791581515177423e-09,7.957765241832006e-13,True,126,8,success,-1,True,False,False,-1,,milk_1,False,-1,False,-1,False,0.0,1.0,126,56,0.2028222490119147,1.1666467011787602,0.3251165668006014,2.3673739059540724,454017.81385551847,0.7007305920124054,7.412473412848897e-15,1.5657825203345666e-17,,,,,,
