head,seed,bootstrap_rows,bootstrap_unique_groups,oob_rows,best_epoch,best_oob_loss,stopped_epoch
0,20260907,1868,98,648,5,0.31961438059806824,20
1,20261916,1868,89,752,4,0.34919801354408264,19
2,20262925,1888,95,668,5,0.34067851305007935,20
3,20263934,1884,97,660,3,0.4006868898868561,18
4,20264943,1892,95,664,6,0.31896087527275085,21
