head,epoch,train_loss,oob_loss
0,1,0.4822614751756191,0.4463575780391693
0,2,0.4020044393837452,0.4177829921245575
0,3,0.3246906027197838,0.3830251097679138
0,4,0.2219685036689043,0.35806116461753845
0,5,0.12322433572262526,0.31961438059806824
0,6,0.05005665053613484,0.33278942108154297
0,7,-0.01446793379727751,0.32953140139579773
0,8,-0.0734330965206027,0.3555136024951935
0,9,-0.1160373855382204,0.3642549216747284
0,10,-0.16053905338048935,0.4324565827846527
0,11,-0.19298741035163403,0.41762909293174744
0,12,-0.23574440740048885,0.5144872069358826
0,13,-0.2545373607426882,0.5106939077377319
0,14,-0.2962496839463711,0.5750412344932556
0,15,-0.3149798549711704,0.6138009428977966
0,16,-0.3297342322766781,0.6839829683303833
0,17,-0.36357152089476585,0.7846881151199341
0,18,-0.3911549635231495,0.8274984955787659
0,19,-0.4120638929307461,0.9123430252075195
0,20,-0.4450838714838028,1.0400187969207764
1,1,0.47718545794487,0.4413015842437744
1,2,0.39643919095396996,0.4093680679798126
1,3,0.31334182992577553,0.37605950236320496
1,4,0.20913014747202396,0.34919801354408264
1,5,0.10761306807398796,0.35046130418777466
1,6,0.04135464411228895,0.3606359362602234
1,7,-0.03140775067731738,0.39300432801246643
1,8,-0.09206730872392654,0.4100058972835541
1,9,-0.13445099722594023,0.44945549964904785
1,10,-0.1826101876795292,0.4987553060054779
1,11,-0.2275672648102045,0.5638360977172852
1,12,-0.2554668001830578,0.6020088791847229
1,13,-0.28339945152401924,0.654012143611908
1,14,-0.31563563644886017,0.7381210327148438
1,15,-0.3434980660676956,0.7702981233596802
1,16,-0.38089342787861824,0.8531359434127808
1,17,-0.3961777426302433,0.8344180583953857
1,18,-0.4190534017980099,1.1242519617080688
1,19,-0.4502972140908241,1.1300439834594727
2,1,0.4752998873591423,0.4498574733734131
2,2,0.39840875193476677,0.41899624466896057
2,3,0.3113847114145756,0.38027822971343994
2,4,0.20277139730751514,0.34927046298980713
2,5,0.10589747596532106,0.34067851305007935
2,6,0.025762047385796905,0.35027074813842773
2,7,-0.04275794990826398,0.39556294679641724
2,8,-0.08442525053396821,0.3892729580402374
2,9,-0.13901171926409006,0.46054667234420776
2,10,-0.1861702110618353,0.5517038702964783
2,11,-0.23023251816630363,0.582312822341919
2,12,-0.2637630533427,0.6193763613700867
2,13,-0.3002866581082344,0.7162488698959351
2,14,-0.3261628560721874,0.7902147173881531
2,15,-0.35650069639086723,0.8180829286575317
2,16,-0.3929923176765442,0.8393995761871338
2,17,-0.41373033076524734,0.9772055745124817
2,18,-0.42851201444864273,1.1441173553466797
2,19,-0.4481171555817127,1.1570683717727661
2,20,-0.4729626625776291,1.279498815536499
3,1,0.4801830053329468,0.4595576226711273
3,2,0.400699470192194,0.4327424168586731
3,3,0.3168974854052067,0.4006868898868561
3,4,0.21132678352296352,0.40897998213768005
3,5,0.11861445987597108,0.46333229541778564
3,6,0.055923657142557204,0.4761117696762085
3,7,-0.004728960921056569,0.6726398468017578
3,8,-0.06605103379115462,0.828508734703064
3,9,-0.1085181012749672,0.8856732249259949
3,10,-0.15917390398681164,1.099938154220581
3,11,-0.2039046660065651,1.174879789352417
3,12,-0.23891381174325943,1.4188623428344727
3,13,-0.2796817049384117,1.526107907295227
3,14,-0.300974328070879,1.8317828178405762
3,15,-0.3230445384979248,1.7978450059890747
3,16,-0.36723393201828003,2.1075375080108643
3,17,-0.38425563648343086,2.283737897872925
3,18,-0.40898755192756653,2.479017972946167
4,1,0.4696836397051811,0.4628482460975647
4,2,0.3934984505176544,0.4296140968799591
4,3,0.31288759410381317,0.38706785440444946
4,4,0.20865417085587978,0.3494832515716553
4,5,0.11799775436520576,0.3325812518596649
4,6,0.05090182088315487,0.31896087527275085
4,7,-0.0010891278507187963,0.3234093189239502
4,8,-0.06359480344690382,0.35269060730934143
4,9,-0.11075214948505163,0.3541843295097351
4,10,-0.15754560567438602,0.4118625521659851
4,11,-0.18255845829844475,0.4148159623146057
4,12,-0.22859829664230347,0.49145615100860596
4,13,-0.25895986519753933,0.5068490505218506
4,14,-0.2974960170686245,0.5737763047218323
4,15,-0.3208341933786869,0.5886944532394409
4,16,-0.34706829488277435,0.6647347211837769
4,17,-0.3765809200704098,0.7547163367271423
4,18,-0.4068736732006073,0.8858063817024231
4,19,-0.4228912591934204,0.8408001065254211
4,20,-0.45050470530986786,1.0293500423431396
4,21,-0.470194723457098,0.9944790005683899
