planning_strategy,planning_risk_lambda,episodes,successes,success_rate,mean_final_t,mean_queries,selected_not_max_value_rate,selected_value_mean,max_value_mean,selected_risk_mean
max_value_scheduled_requery,0.0,16,10,0.625,215.3125,15.0,0.0,0.5507575515459887,0.5507575515459887,0.0
max_value,0.0,16,7,0.4375,226.875,14.625,0.0,0.5213821567463303,0.5213821567463303,0.0
