utility,method,candidate_rows,features,centered_utility_correlation
local_utility_v1,grouped_oof_candidate_ridge,2216,"candidate_value,candidate_first_action_l1,candidate_action_chunk_l1,candidate_action_chunk_l2,latent_action_copy_std_mean,latent_action_copy_std_max,latent_action_first_step_copy_l2_std,latent_future_proprio_copy_std_mean,latent_future_proprio_copy_std_max,latent_value_element_std_mean,latent_value_element_std_max",
local_utility_v1,factor_oof_candidate_ridge,2216,"candidate_action_chunk_l1,candidate_action_chunk_l2,candidate_first_action_l1,candidate_value,latent_action_copy_std_max,latent_action_copy_std_mean,latent_action_first_step_copy_l2_std,latent_future_proprio_copy_std_max,latent_future_proprio_copy_std_mean,latent_value_element_std_max,latent_value_element_std_mean",
terminal_utility_v1,grouped_oof_candidate_ridge,554,"candidate_value,candidate_first_action_l1,candidate_action_chunk_l1,candidate_action_chunk_l2,latent_action_copy_std_mean,latent_action_copy_std_max,latent_action_first_step_copy_l2_std,latent_future_proprio_copy_std_mean,latent_future_proprio_copy_std_max,latent_value_element_std_mean,latent_value_element_std_max",
terminal_utility_v1,factor_oof_candidate_ridge,554,"candidate_action_chunk_l1,candidate_action_chunk_l2,candidate_first_action_l1,candidate_value,latent_action_copy_std_max,latent_action_copy_std_mean,latent_action_first_step_copy_l2_std,latent_future_proprio_copy_std_max,latent_future_proprio_copy_std_mean,latent_value_element_std_max,latent_value_element_std_mean",
