model,suite,baseline,action,decoder
GR00T,SIMPLER,52.083333333333336,47.916666666666664,56.59722222222222
GR00T,INT-ACT,35.24305555555556,37.326388888888886,38.888888888888886
Xiaomi,SIMPLER,81.59722222222223,80.90277777777777,80.90277777777777
Xiaomi,INT-ACT,65.27777777777777,65.79861111111111,63.541666666666664
