factor,target,model,states,features,mae,correlation,sign_accuracy,positive_vof_auc
Environment,local_vof,grouped_oof_ridge,98,"value_mean,value_std,value_range,action_std_mean,action_std_max,action_first_step_l2_std,action_pairwise_l2_mean,future_proprio_std_mean,future_image_pixel_std_mean,future_wrist_pixel_std_mean,latent_action_across_seed_std_mean,latent_future_proprio_across_seed_std_mean,latent_value_across_seed_std_mean,latent_action_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_value_element_std_mean_mean_over_samples,candidate_action_consensus_first_mean,candidate_action_consensus_chunk_mean,planning_predicted_proprio_error",0.0,,1.0,
Environment,local_vof,factor_phase_oof_mean,98,"factor,phase_at_snapshot",0.0,,1.0,
Environment,dense_vof_v2,grouped_oof_ridge,98,"value_mean,value_std,value_range,action_std_mean,action_std_max,action_first_step_l2_std,action_pairwise_l2_mean,future_proprio_std_mean,future_image_pixel_std_mean,future_wrist_pixel_std_mean,latent_action_across_seed_std_mean,latent_future_proprio_across_seed_std_mean,latent_value_across_seed_std_mean,latent_action_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_value_element_std_mean_mean_over_samples,candidate_action_consensus_first_mean,candidate_action_consensus_chunk_mean,planning_predicted_proprio_error",0.016759565209372516,0.6991999087614261,0.9081632653061225,0.9787414965986394
Environment,dense_vof_v2,factor_phase_oof_mean,98,"factor,phase_at_snapshot",0.01589152867050298,0.713794470463223,0.9795918367346939,0.9727891156462585
Environment,terminal_vof,grouped_oof_ridge,0,"value_mean,value_std,value_range,action_std_mean,action_std_max,action_first_step_l2_std,action_pairwise_l2_mean,future_proprio_std_mean,future_image_pixel_std_mean,future_wrist_pixel_std_mean,latent_action_across_seed_std_mean,latent_future_proprio_across_seed_std_mean,latent_value_across_seed_std_mean,latent_action_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_value_element_std_mean_mean_over_samples,candidate_action_consensus_first_mean,candidate_action_consensus_chunk_mean,planning_predicted_proprio_error",,,,
Environment,terminal_vof,factor_phase_oof_mean,20,"factor,phase_at_snapshot",0.3304761904761905,-0.0856112849751491,0.4,0.49019607843137253
Object,local_vof,grouped_oof_ridge,98,"value_mean,value_std,value_range,action_std_mean,action_std_max,action_first_step_l2_std,action_pairwise_l2_mean,future_proprio_std_mean,future_image_pixel_std_mean,future_wrist_pixel_std_mean,latent_action_across_seed_std_mean,latent_future_proprio_across_seed_std_mean,latent_value_across_seed_std_mean,latent_action_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_value_element_std_mean_mean_over_samples,candidate_action_consensus_first_mean,candidate_action_consensus_chunk_mean,planning_predicted_proprio_error",0.0,,1.0,
Object,local_vof,factor_phase_oof_mean,98,"factor,phase_at_snapshot",0.0,,1.0,
Object,dense_vof_v2,grouped_oof_ridge,98,"value_mean,value_std,value_range,action_std_mean,action_std_max,action_first_step_l2_std,action_pairwise_l2_mean,future_proprio_std_mean,future_image_pixel_std_mean,future_wrist_pixel_std_mean,latent_action_across_seed_std_mean,latent_future_proprio_across_seed_std_mean,latent_value_across_seed_std_mean,latent_action_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_value_element_std_mean_mean_over_samples,candidate_action_consensus_first_mean,candidate_action_consensus_chunk_mean,planning_predicted_proprio_error",0.0495815839443036,0.17141055441065223,0.7346938775510204,0.7247165532879819
Object,dense_vof_v2,factor_phase_oof_mean,98,"factor,phase_at_snapshot",0.041890558247399574,0.15882163444628525,0.6836734693877551,0.6526077097505669
