target,model,states,features,mae,correlation,sign_accuracy,positive_vof_auc
local_vof,grouped_oof_ridge,265,"value_mean,value_std,value_range,action_std_mean,action_std_max,action_first_step_l2_std,action_pairwise_l2_mean,future_proprio_std_mean,future_image_pixel_std_mean,future_wrist_pixel_std_mean,latent_action_across_seed_std_mean,latent_future_proprio_across_seed_std_mean,latent_value_across_seed_std_mean,latent_action_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_value_element_std_mean_mean_over_samples,candidate_action_consensus_first_mean,candidate_action_consensus_chunk_mean,planning_predicted_proprio_error",0.0,,1.0,
local_vof,factor_phase_oof_mean,265,"factor,phase_at_snapshot",0.0,,1.0,
dense_vof_v2,grouped_oof_ridge,265,"value_mean,value_std,value_range,action_std_mean,action_std_max,action_first_step_l2_std,action_pairwise_l2_mean,future_proprio_std_mean,future_image_pixel_std_mean,future_wrist_pixel_std_mean,latent_action_across_seed_std_mean,latent_future_proprio_across_seed_std_mean,latent_value_across_seed_std_mean,latent_action_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_value_element_std_mean_mean_over_samples,candidate_action_consensus_first_mean,candidate_action_consensus_chunk_mean,planning_predicted_proprio_error",0.03841406291676773,0.1828981692828226,0.6377358490566037,0.6717299094348275
dense_vof_v2,factor_phase_oof_mean,265,"factor,phase_at_snapshot",0.024965037926777227,0.36331093067721953,0.7396226415094339,0.7740169666399175
terminal_vof,grouped_oof_ridge,50,"value_mean,value_std,value_range,action_std_mean,action_std_max,action_first_step_l2_std,action_pairwise_l2_mean,future_proprio_std_mean,future_image_pixel_std_mean,future_wrist_pixel_std_mean,latent_action_across_seed_std_mean,latent_future_proprio_across_seed_std_mean,latent_value_across_seed_std_mean,latent_action_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_value_element_std_mean_mean_over_samples,candidate_action_consensus_first_mean,candidate_action_consensus_chunk_mean,planning_predicted_proprio_error",0.3645677263239178,0.15681121762276914,0.5,0.9929078014184397
terminal_vof,factor_phase_oof_mean,50,"factor,phase_at_snapshot",0.2930238095238095,0.05577251863395048,0.58,0.6843971631205674
