method,states,delta_success_rate,delta_ci_low,delta_ci_high,rescues,harms,mcnemar_exact_p
always-H8-requery,67,0.04477611940298507,-0.025974025974025976,0.12307692307692308,4,1,0.375
phase-oracle-H16/H8,67,0.0,-0.037037037037037035,0.03571428571428571,1,1,1.0
