baseline_strategy_id,strategy_id,num_cases,paired_rollouts,baseline_successes,strategy_successes,baseline_success_rate,strategy_success_rate,delta_success_rate,delta_ci_low,delta_ci_high,min_case_delta,max_case_delta,wins,losses,ties,mcnemar_exact_p,baseline_mean_queries,mean_queries,query_overhead_ratio,actual_query_count_ratio,mean_requery_rate,mean_surrogate_alarm_rate,selection_category,selection_utility
max_value,requery_l1_h8,6,48,32,39,0.6666666666666666,0.8125,0.14583333333333334,0.041666666666666664,0.25,0.0,0.375,8,1,39,0.0390625,13.729166666666666,14.645833333333334,1.2512381715506715,1.0667678300455237,0.39414142672414726,0.13929009542157764,non_surrogate_adaptive,0.1408085699023199
max_value,phase_requery_l1_r0.5_h8,6,48,32,38,0.6666666666666666,0.7916666666666666,0.125,-0.020833333333333332,0.27135416666665907,-0.125,0.5,12,6,30,0.237884521484375,13.729166666666666,14.6875,1.2371245652495653,1.0698027314112293,0.36911828552236914,0.1530112397025213,non_surrogate_adaptive,0.057757508695008695
max_value,phase_l1_r0.3,6,48,32,34,0.6666666666666666,0.7083333333333334,0.041666666666666664,-0.08333333333333333,0.16666666666666666,-0.125,0.25,6,4,38,0.75390625,13.729166666666666,13.583333333333334,1.0,0.9893778452200305,0.0,0.1606347526384291,non_surrogate_adaptive,-0.020833333333333336
max_value,phase_requery_l1_r0.3_h8,6,48,32,32,0.6666666666666666,0.6666666666666666,0.0,-0.14583333333333334,0.16666666666666666,-0.25,0.25,8,8,32,1.0,13.729166666666666,15.604166666666666,1.170486486892737,1.1365705614567527,0.26671818409676384,0.14746047610308446,non_surrogate_adaptive,-0.12840972973785475
max_value,phase_surrogate_l1_r0.5_e0.0884176756291_h8,6,48,32,36,0.6666666666666666,0.75,0.08333333333333333,-0.041666666666666664,0.20833333333333334,0.0,0.25,7,3,38,0.34375,13.729166666666666,14.708333333333334,1.1248881327006324,1.071320182094082,0.2007470585256963,0.2007470585256963,surrogate_adaptive,0.08083557067932068
max_value,surrogate_gate_l1_e0.0884176756291_h8,6,48,32,36,0.6666666666666666,0.75,0.08333333333333333,-0.041666666666666664,0.2088541666666591,-0.125,0.25,8,4,36,0.3876953125,13.729166666666666,15.166666666666666,1.125502044252044,1.1047040971168438,0.2062906505817552,0.2062906505817552,surrogate_adaptive,0.01832329244829245
max_value,surrogate_horizon_l1_e0.0630054843163_h8,6,48,32,36,0.6666666666666666,0.75,0.08333333333333333,-0.041666666666666664,0.20833333333333334,-0.125,0.375,8,4,36,0.3876953125,13.729166666666666,16.229166666666668,1.2061796183119713,1.1820940819423371,0.3393646329785285,0.3393646329785285,surrogate_adaptive,0.016709740967093902
max_value,phase_surrogate_l1_r0.3_e0.146849980679_h8,6,48,32,33,0.6666666666666666,0.6875,0.020833333333333332,-0.125,0.16666666666666666,-0.125,0.25,7,6,35,1.0,13.729166666666666,14.354166666666666,1.041808712121212,1.0455235204855842,0.06288506325271032,0.06288506325271032,surrogate_adaptive,-0.042502840909090914
max_value,surrogate_horizon_l1_e0.0884176756291_h8,6,48,32,32,0.6666666666666666,0.6666666666666666,0.0,-0.10416666666666667,0.10416666666666667,-0.125,0.125,3,3,42,1.0,13.729166666666666,16.125,1.1518417720623602,1.1745068285280729,0.23824362731338353,0.23824362731338353,surrogate_adaptive,-0.06553683544124721
max_value,surrogate_gate_l1_e0.0630054843163_h8,6,48,32,34,0.6666666666666666,0.7083333333333334,0.041666666666666664,-0.10416666666666667,0.1875,-0.25,0.25,8,6,34,0.79052734375,13.729166666666666,16.9375,1.2335779263628528,1.2336874051593323,0.3736078483747038,0.3736078483747038,surrogate_adaptive,-0.08800489186059039
max_value,phase_surrogate_l1_r0.3_e0.0630054843163_h8,6,48,32,33,0.6666666666666666,0.6875,0.020833333333333332,-0.10416666666666667,0.14583333333333334,-0.25,0.25,6,5,37,1.0,13.729166666666666,16.729166666666668,1.2171707887700534,1.2185128983308045,0.3529666687191253,0.3529666687191253,surrogate_adaptive,-0.10851008244206774
max_value,surrogate_disagreement_l1_e0.0884176756291_h8,6,48,32,32,0.6666666666666666,0.6666666666666666,0.0,-0.125,0.125,-0.25,0.25,5,5,38,1.0,13.729166666666666,14.104166666666666,1.0429969336219334,1.0273141122913505,0.0794843117033814,0.2018510541568406,surrogate_adaptive,-0.12585993867243866
max_value,surrogate_horizon_l1_e0.146849980679_h8,6,48,32,32,0.6666666666666666,0.6666666666666666,0.0,-0.125,0.14583333333333334,-0.25,0.25,6,6,36,1.0,13.729166666666666,14.729166666666666,1.0532444985569984,1.0728376327769347,0.08772325446812675,0.08772325446812675,surrogate_adaptive,-0.12606488997113996
max_value,surrogate_gate_l1_e0.146849980679_h8,6,48,32,31,0.6666666666666666,0.6458333333333334,-0.020833333333333332,-0.125,0.08333333333333333,-0.375,0.25,4,5,39,1.0,13.729166666666666,14.666666666666666,1.0672077922077923,1.0682852807283763,0.11019220103352995,0.11019220103352995,surrogate_adaptive,-0.20967748917748918
max_value,phase_surrogate_l1_r0.3_e0.0884176756291_h8,6,48,32,30,0.6666666666666666,0.625,-0.041666666666666664,-0.16666666666666666,0.08333333333333333,-0.375,0.125,5,7,36,0.7744140625,13.729166666666666,16.166666666666668,1.1488343253968256,1.1775417298937787,0.23448306324240165,0.23448306324240165,surrogate_adaptive,-0.23214335317460316
