head,seed,bootstrap_rows,bootstrap_unique_groups,oob_rows,best_epoch,best_oob_loss,stopped_epoch
0,20260907,1868,98,648,27,0.5776099562644958,42
1,20261916,1868,89,752,23,0.6393356323242188,38
2,20262925,1888,95,668,24,0.615692675113678,39
3,20263934,1884,97,660,21,0.6537508368492126,36
4,20264943,1892,95,664,21,0.5847492814064026,36
