method,cohort,n_cases,n_groups,n_cells,baseline_successes,method_successes,baseline_sr,method_sr,paired_sr_delta,group_ci_low,group_ci_high,cell_macro_ci_low,cell_macro_ci_high,rescues,harms,mcnemar_exact_p,triggered,interventions,trigger_rate,intervention_rate,mean_primitive_steps,mean_final_t_delta,both_success_cases,mean_time_delta_both_success,target_drop_candidate_delta,wrong_object_interaction_candidate_delta,official_safety_violation_delta
workspace_calibrated,all,75,75,15,32,56,0.4266666666666667,0.7466666666666667,0.32,0.2,0.44,0.12000000000000001,0.5333333333333333,27,3,8.430331945419312e-06,54,54,0.72,0.72,17.76,-35.306666666666665,29,-22.75862068965517,0.013333333333333336,-0.039999999999999994,0.0
workspace_calibrated,replication,40,40,8,6,25,0.15,0.625,0.475,0.3,0.65,0.19999999999999998,0.775,20,1,2.09808349609375e-05,25,25,0.625,0.625,15.625,-43.275,5,-38.2,0.0,-0.1,0.0
workspace_calibrated,novel_cell,35,35,7,26,31,0.7428571428571429,0.8857142857142857,0.14285714285714285,-0.02857142857142857,0.3142857142857143,-0.08571428571428573,0.3428571428571429,7,2,0.1796875,29,29,0.8285714285714286,0.8285714285714286,20.2,-26.2,24,-19.541666666666668,0.028571428571428574,0.02857142857142857,0.0
workspace_retreat_only,all,75,75,15,32,36,0.4266666666666667,0.48,0.05333333333333334,-0.04,0.14666666666666667,-0.08000000000000002,0.18666666666666668,9,5,0.4239501953125,54,54,0.72,0.72,2.16,-7.506666666666667,27,-5.962962962962963,-0.013333333333333329,-0.039999999999999994,0.0
workspace_retreat_only,replication,40,40,8,6,8,0.15,0.2,0.05,-0.075,0.175,-0.07500000000000001,0.17500000000000002,4,2,0.6875,25,25,0.625,0.625,1.875,-1.85,4,-4.25,0.02500000000000001,-0.075,0.0
workspace_retreat_only,novel_cell,35,35,7,26,28,0.7428571428571429,0.8,0.05714285714285714,-0.08571428571428572,0.2,-0.19999999999999998,0.2857142857142857,5,3,0.7265625,29,29,0.8285714285714286,0.8285714285714286,2.4857142857142858,-13.971428571428572,23,-6.260869565217392,-0.05714285714285714,0.0,0.0
